2025-10-25 18:24:10 - CargaMySQL_20251025_182410 - INFO - Iniciando CargaMySQL
2025-10-25 18:24:10 - CargaMySQL_20251025_182410 - INFO - Clase CargaMySQL inicializada
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Iniciando operación: carga de datos transformados
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: listings - 22,109 registros, 90 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: reviews - 1,388,031 registros, 13 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Datos cargados: calendar - 9,636,365 registros, 12 columnas
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - Operación carga de datos transformados completada
2025-10-25 18:24:23 - CargaMySQL_20251025_182410 - INFO - INICIANDO CARGA COMPLETA EN MYSQL
2025-10-25 18:24:26 - CargaMySQL_20251025_182410 - INFO - Chunk 14 insertado: 1000 registros
2025-10-25 18:24:26 - CargaMySQL_20251025_182410 - INFO - Chunk 15 insertado: 1000 registros
2025-10-25 18:24:26 - CargaMySQL_20251025_182410 - INFO - Chunk 16 insertado: 1000 registros
2025-10-25 18:24:27 - CargaMySQL_20251025_182410 - INFO - Chunk 17 insertado: 1000 registros
2025-10-25 18:24:27 - CargaMySQL_20251025_182410 - INFO - Chunk 18 insertado: 1000 registros
2025-10-25 18:24:27 - CargaMySQL_20251025_182410 - INFO - Chunk 19 insertado: 1000 registros
2025-10-25 18:24:27 - CargaMySQL_20251025_182410 - INFO - Chunk 20 insertado: 1000 registros
2025-10-25 18:24:27 - CargaMySQL_20251025_182410 - INFO - Chunk 21 insertado: 1000 registros
2025-10-25 18:24:27 - CargaMySQL_20251025_182410 - INFO - Chunk 22 insertado: 1000 registros
2025-10-25 18:24:28 - CargaMySQL_20251025_182410 - INFO - Chunk 23 insertado: 109 registros
2025-10-25 18:24:28 - CargaMySQL_20251025_182410 - INFO - Tabla listings: 22,109 registros insertados correctamente
2025-10-25 18:24:28 - CargaMySQL_20251025_182410 - INFO - Insertando tabla: reviews
2025-10-25 18:24:28 - CargaMySQL_20251025_182410 - INFO - Tabla `reviews` creada o ya existe
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 1 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 2 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 3 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 4 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 5 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 6 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 7 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 8 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 9 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 10 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 11 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 12 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 13 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 14 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 15 insertado: 1000 registros
2025-10-25 18:24:29 - CargaMySQL_20251025_182410 - INFO - Chunk 16 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 17 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 18 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 19 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 20 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 21 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 22 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 23 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 24 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 25 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 26 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 27 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 28 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 29 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 30 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 31 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 32 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 33 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 34 insertado: 1000 registros
2025-10-25 18:24:30 - CargaMySQL_20251025_182410 - INFO - Chunk 35 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 36 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 37 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 38 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 39 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 40 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 41 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 42 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 43 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 44 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 45 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 46 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 47 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 48 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 49 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 50 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 51 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 52 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 53 insertado: 1000 registros
2025-10-25 18:24:31 - CargaMySQL_20251025_182410 - INFO - Chunk 54 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 55 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 56 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 57 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 58 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 59 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 60 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 61 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 62 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 63 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 64 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 65 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 66 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 67 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 68 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 69 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 70 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 71 insertado: 1000 registros
2025-10-25 18:24:32 - CargaMySQL_20251025_182410 - INFO - Chunk 72 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 73 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 74 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 75 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 76 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 77 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 78 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 79 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 80 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 81 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 82 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 83 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 84 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 85 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 86 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 87 insertado: 1000 registros
2025-10-25 18:24:33 - CargaMySQL_20251025_182410 - INFO - Chunk 88 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 89 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 90 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 91 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 92 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 93 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 94 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 95 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 96 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 97 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 98 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 99 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 100 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 101 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 102 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 103 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 104 insertado: 1000 registros
2025-10-25 18:24:34 - CargaMySQL_20251025_182410 - INFO - Chunk 105 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 106 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 107 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 108 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 109 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 110 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 111 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 112 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 113 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 114 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 115 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 116 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 117 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 118 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 119 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 120 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 121 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 122 insertado: 1000 registros
2025-10-25 18:24:35 - CargaMySQL_20251025_182410 - INFO - Chunk 123 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 124 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 125 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 126 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 127 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 128 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 129 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 130 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 131 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 132 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 133 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 134 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 135 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 136 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 137 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 138 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 139 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 140 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 141 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 142 insertado: 1000 registros
2025-10-25 18:24:36 - CargaMySQL_20251025_182410 - INFO - Chunk 143 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 144 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 145 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 146 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 147 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 148 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 149 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 150 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 151 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 152 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 153 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 154 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 155 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 156 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 157 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 158 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 159 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 160 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 161 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 162 insertado: 1000 registros
2025-10-25 18:24:37 - CargaMySQL_20251025_182410 - INFO - Chunk 163 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 164 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 165 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 166 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 167 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 168 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 169 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 170 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 171 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 172 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 173 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 174 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 175 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 176 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 177 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 178 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 179 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 180 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 181 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 182 insertado: 1000 registros
2025-10-25 18:24:38 - CargaMySQL_20251025_182410 - INFO - Chunk 183 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 184 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 185 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 186 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 187 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 188 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 189 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 190 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 191 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 192 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 193 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 194 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 195 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 196 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 197 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 198 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 199 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 200 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 201 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 202 insertado: 1000 registros
2025-10-25 18:24:39 - CargaMySQL_20251025_182410 - INFO - Chunk 203 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 204 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 205 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 206 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 207 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 208 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 209 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 210 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 211 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 212 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 213 insertado: 1000 registros
2025-10-25 18:24:40 - CargaMySQL_20251025_182410 - INFO - Chunk 214 insertado: 1000 registros
